Latin Name,Common Name,Group,FishBaseURL,,,
Acipenser transmontanus,White sturgeon,Other,https://www.fishbase.ca/summary/2594,,,
Agonopsis vulsa,Northern spearnose poacher,Poachers,https://www.fishbase.ca/summary/Agonopsis-vulsa.html,,,
Allosmerus elongatus,Whitebait smelt,Forage fish,https://www.fishbase.ca/summary/Allosmerus-elongatus.html,,,
Alosa sapidissima,American shad,Forage fish,https://www.fishbase.ca/summary/Alosa-sapidissima.html,,,
Ammodytes personatus,Pacific sandlance,Forage fish,https://www.fishbase.ca/summary/Ammodytes-personatus.html,,,
Amphistichus rhodoterus,Redtail surfperch,Perches,https://www.fishbase.ca/summary/3624,,,
Anarrhichthys ocellatus,Wolf eel,Other,https://www.fishbase.ca/summary/Anarrhichthys-ocellatus.html,,,
Anisarchus medius,Stout eelblenny,,https://www.fishbase.se/summary/3789,,,
Anoplagonus inermis,Smooth alligatorfish,Sculpins,https://www.fishbase.ca/summary/Anoplagonus-inermis.html,,,
Anoplarchus purpurescens,High cockscomb,Eelpouts and pricklebacks,https://www.fishbase.ca/summary/anoplarchus-purpurescens.html,,,
Anoplopoma fimbria,Sablefish,Other,https://www.fishbase.ca/summary/Anoplopoma-fimbria.html,,,
Apodichthys flavidus,Penpoint gunnel,Eelpouts and pricklebacks,https://www.fishbase.ca/summary/Apodichthys-flavidus.html,,,
Artedius fenestralis,Padded sculpin,Sculpins,https://www.fishbase.ca/summary/Artedius-fenestralis.html,,,
Artedius harringtoni,Scalyhead sculpin,Sculpins,https://www.fishbase.ca/summary/Artedius-harringtoni.html,,,
Artedius lateralis,Smoothhead sculpin,Sculpins,https://www.fishbase.ca/summary/ARTEDIUS-LATERALIS.html,,,
Ascelichthys rhodorus,Rosylip sculpin,Sculpins,https://www.fishbase.ca/summary/4051,,,
Atheresthes evermanni,Kamchatka flounder,,,,,
Aulorhynchus flavidus,Tube-snout,Other,https://www.fishbase.ca/summary/3270,,,
Bathyagonus infraspinatus,Spinycheek starsnout,,,,,
Bathyagonus nigripinnis,Blackfin poacher,Poachers,https://www.fishbase.ca/summary/Bathyagonus-nigripinnis.html,,,
Bathylagus pacificus,Slender blacksmelt,,https://www.fishbase.se/summary/Bathylagus-pacificus.html,,,
Blepsias cirrhosus,Silverspotted sculpin,Sculpins,https://www.fishbase.ca/summary/4054,,,
Brachyistius frenatus,Kelp perch,Perches,https://www.fishbase.ca/summary/3625,,,
Brosmophycis marginata,Red brotula,,https://www.fishbase.de/summary/Brosmophycis-marginata.html,,,
Bryozoichthys lysimus,Nutcracker prickleback,,,,,
Catostomus macrocheilus,Largescale sucker,,https://www.fishbase.de/summary/Catostomus-macrocheilus.html,,,
Chirolophis nugator,Mosshead warbonnet,Eelpouts and pricklebacks,https://www.fishbase.ca/summary/3781,,,
Chitonotus pugetensis,Roughback sculpin,,,,,
Chitonotus pugetensis,Roughback sculpin,Sculpins,https://www.fishbase.ca/summary/4055,,,
Citharichthys sordidus,Pacific sanddab,Flatfish,https://www.fishbase.ca/summary/Citharichthys-sordidus.html,,,
Citharichthys stigmaeus,Speckled sanddab,Flatfish,https://www.fishbase.ca/summary/Citharichthys-stigmaeus,,,
Clevelandia ios,Arrow goby,Other,https://www.fishbase.ca/summary/3840,,,
Clinocottus acuticeps,Sharpnose sculpin,Sculpins,https://www.fishbase.ca/summary/Clinocottus-acuticeps.html,,,
Clinocottus globiceps,Mosshead sculpin,Sculpins,https://www.fishbase.ca/summary/4059,,,
Clupea pallasii,Pacific herring,Forage fish,https://www.fishbase.ca/summary/Clupea-pallasii+pallasii.html,,,
Cololabis saira,Pacific saury,Forage fish,https://www.fishbase.ca/summary/Cololabis-saira.html,,,
Coryphaenoides acrolepis,Pacific grenadier,,https://www.fishbase.se/summary/8467,,,
Cottus asper,Prickly sculpin,Sculpins,https://www.fishbase.ca/summary/Cottus-asper.html,,,
Cottus cognatus,Slimy sculpin,Sculpins,https://www.fishbase.ca/summary/4068,,,
Cryptacanthodes giganteus,Giant wrymouth,Eelpouts and pricklebacks,https://www.fishbase.ca/summary/Cryptacanthodes-giganteus.html,,,
Cymatogaster aggregata,Shiner perch,Perches,https://www.fishbase.ca/summary/Cymatogaster-aggregata.html,,,
Cyprinus carpio,Common carp,Other,https://www.fishbase.ca/summary/cyprinus-carpio.html,,,
Diaphus theta,California headlightfish,,,,,
Embiotoca lateralis,Striped seaperch,Perches,https://www.fishbase.ca/summary/3629,,,
Engraulis mordax,Northern anchovy,Forage fish,https://www.fishbase.ca/summary/Engraulis-mordax.html,,,
Enophrys bison,Buffalo sculpin,Sculpins,https://www.fishbase.ca/summary/Enophrys-bison.html,,,
Entosphenus tridentatus,Pacific lamprey,Other,https://www.fishbase.ca/summary/Entosphenus-tridentatus.html,,,
Eopsetta jordani,Petrale sole,,https://www.fishbase.se/summary/Eopsetta-jordani.html,,,
Eumicrotremus orbis,Pacific spiny lumpsucker,Other,https://www.fishbase.ca/summary/4184,,,
Gadus chalcogrammus,Alaska pollock,Other,https://www.fishbase.ca/summary/Gadus-chalcogrammus.html,,,
Gadus macrocephalus,Pacific cod,Other,https://www.fishbase.ca/summary/Gadus-macrocephalus.html,,,
Gasterosteus aculeatus,Three-spined stickleback,Other,https://www.fishbase.ca/summary/Gasterosteus-aculeatus.html,,,
Gibbonsia montereyensis,Crevice kelpfish,Other,https://www.fishbase.ca/summary/Gibbonsia-montereyensis.html,,,
Glyptocephalus zachirus,Rex sole,Flatfish,https://www.fishbase.ca/summary/Glyptocephalus-zachirus,,,
Gobiesox maeandricus,Northern clingfish,Other,https://www.fishbase.ca/summary/Gobiesox-maeandricus.html,,,
Gymnocanthus tricuspis,Arctic staghorn sculpin,,https://www.fishbase.se/summary/Gymnocanthus-tricuspis.html,,,
Hemilepidotus hemilepidotus,Red Irish lord,Sculpins,https://www.fishbase.ca/summary/Hemilepidotus-jordani.html,,,
Hemilepidotus spinosus,Brown Irish lord,Sculpins,https://www.fishbase.ca/summary/Hemilepidotus-spinosus,,,
Hemitripterus bolini,Bigmouth sculpin,Sculpins,https://www.fishbase.ca/summary/Hemitripterus-bolini.html,,,
Hexagrammos decagrammus,Kelp greenling,Other,https://www.fishbase.ca/summary/Hexagrammos-decagrammus.html,,,
Hexanchus griseus,Bluntnose sixgill shark,Cartilaginous fishes,https://www.fishbase.ca/summary/Hexanchus-griseus.html,,,
Hippoglossus stenolepis,Pacific halibut,Flatfish,https://www.fishbase.ca/summary/Hippoglossus-stenolepis.html,,,
Hydrolagus colliei,Spotted ratfish,Cartilaginous fishes,https://www.fishbase.ca/summary/Hydrolagus-colliei.html,,,
Hypomesus pretiosus,Surf smelt,Forage fish,https://www.fishbase.ca/summary/Hypomesus-pretiosus.html,,,
Hypsagonus quadricornis,Fourhorn poacher,Poachers,https://www.fishbase.ca/summary/4164,,,
Icelinus borealis,Northern sculpin,Sculpins,https://www.fishbase.ca/summary/Icelinus-borealis.html,,,
Icelinus burchami,Dusky sculpin,,,,,
Icelinus filamentosus,Threadfin sculpin,,,,,
Icichthys lockingtoni,Medusafish,,https://www.fishbase.se/summary/3922,,,
Icosteus aenigmaticus,Ragfish,Other,https://www.fishbase.ca/summary/3929,,,
Isopsetta isolepis,Butter sole,Flatfish,https://www.fishbase.ca/summary/4242,,,
Jordania zonope,Longfin sculpin,Sculpins,https://www.fishbase.ca/summary/Jordania-zonope.html,,,
Lampetra sp. CBM:ZF:17561,Lamprey,,,,,
Lepidogobius lepidus,Bay goby,Other,https://www.fishbase.ca/summary/Lepidogobius-lepidus.html,,,
Lepidopsetta bilineata,Rock sole,Flatfish,https://www.fishbase.ca/summary/Lepidopsetta-bilineata.html,,,
Lepomis gibbosus,Pumpkinseed,Other,https://www.fishbase.ca/summary/3372,,,
Leptoclinus maculatus,Daubed shanny,Other,https://www.fishbase.ca/summary/Leptoclinus-maculatus.html,,,
Leptocottus armatus,Pacific staghorn sculpin,Sculpins,https://www.fishbase.ca/summary/4112,,,
Leuroglossus schmidti,Northern smoothtongue,Forage fish,https://www.fishbase.ca/summary/9462,,,
Liparis cyclopus,Ribbon snailfish,Snailfish,https://www.fishbase.ca/summary/Liparis-cyclopus.html,,,
Liparis florae,Tidepool snailfish,Snailfish,https://www.fishbase.ca/summary/Liparis-florae,,,
Liparis fucensis,Slipskin snailfish,Snailfish,https://www.fishbase.ca/summary/Liparis-fucensis.html,,,
Liparis gibbus,Variegated snailfish,,https://www.fishbase.de/summary/Liparis-gibbus.html,,,
Liparis mucosus,Slimy snailfish,Snailfish,https://www.fishbase.ca/summary/4197,,,
Liparis ochotensis,snailfish,,https://www.fishbase.se/summary/24113,,,
Liparis pulchellus,Showy snailfish,Snailfish,https://www.fishbase.ca/summary/Liparis-pulchellus.html,,,
Lipolagus ochotensis,Eared blacksmelt,Forage fish,https://www.fishbase.ca/summary/Lipolagus-ochotensis.html,,,
Lumpenus sagitta,Snake prickleback,Eelpouts and pricklebacks,https://www.fishbase.ca/summary/Lumpenus-sagitta.html,,,
Lycodapus mandibularis,Pallid eelpout,,,,,
Lycodes cortezianus,Bigfin eelpout,,https://www.fishbase.se/summary/Lycodes-cortezianus,,,
Lycodopsis pacificus,Blackbelly prickleback,Eelpouts and pricklebacks,https://www.fishbase.ca/summary/Lycodopsis-pacifica.html,,,
Lyopsetta exilis,Slender sole,Flatfish,https://www.fishbase.ca/summary/Lyopsetta-exilis.html,,,
Malacocottus zonurus,Darkfin sculpin,,,,,
Mallotus villosus,Capelin,Forage fish,https://www.fishbase.ca/summary/Mallotus-villosus.html,,,
Merluccius productus,North Pacific Hake,Forage fish,https://www.fishbase.ca/summary/326,,,
Microgadus proximus,Pacific tomcod,Other,https://www.fishbase.ca/summary/Microgadus-proximus.html,,,
Micropterus dolomieu,Smallmouth bass,Other,https://www.fishbase.ca/summary/Micropterus-dolomieu.html,,,
Microstomus pacificus,Dover sole,Flatfish,https://www.fishbase.ca/summary/Microstomus-pacificus.html,,,
Mylocheilus caurinus,Northwest dace,Other,https://en.wikipedia.org/wiki/Mylocheilus_caurinus,,,
Myoxocephalus jaok,Plain sculpin,Sculpins,https://www.fishbase.ca/summary/Myoxocephalus-jaok.html,,,
Nautichthys oculofasciatus,Sailfin sculpin,Sculpins,https://www.fishbase.ca/summary/4125,,,
Odontopyxis trispinosa,Pygmy poacher,Poachers,https://www.fishbase.ca/summary/4168,,,
Oligocottus maculosus,Tidepool sculpin,Sculpins,https://www.fishbase.ca/summary/4128,,,
Oncorhynchus clarkii lewisi,Cutthroat trout,Salmon,https://www.fishbase.ca/summary/Oncorhynchus-clarkii.html,,,
Oncorhynchus gorbuscha,Pink salmon,Salmon,https://www.fishbase.ca/summary/oncorhynchus-gorbuscha.html,,,
Oncorhynchus keta,Chum salmon,Salmon,https://www.fishbase.ca/summary/Oncorhynchus-keta.html,,,
Oncorhynchus kisutch,Coho salmon,Salmon,https://www.fishbase.ca/summary/Oncorhynchus-kisutch.html,,,
Oncorhynchus mykiss,Rainbow trout,Salmon,https://www.fishbase.ca/summary/oncorhynchus-mykiss.html,,,
Oncorhynchus nerka,Sockeye salmon,Salmon,https://www.fishbase.ca/summary/oncorhynchus-nerka.html,,,
Oncorhynchus tshawytscha,Chinook salmon,Salmon,https://www.fishbase.ca/summary/244,,,
Ophiodon elongatus,Lingcod,Other,https://www.fishbase.ca/summary/Ophiodon-elongatus.html,,,
Oreochromis niloticus,Nile tilapoa,Other,https://www.fishbase.ca/summary/Oreochromis-niloticus.html,,,
Orthonopias triacis,Snubnose sculpin,Sculpins,https://www.fishbase.ca/summary/Orthonopias-triacis.html,,,
Oxylebius pictus,Painted greenling,Other,https://www.fishbase.ca/summary/Oxylebius-pictus.html,,,
Pallasina barbata,Tubenose poacher,Poachers,https://www.fishbase.ca/summary/Pallasina-barbata.html,,,
Perca flavescens,Yellow perch,Perches,https://www.fishbase.ca/summary/Perca-flavescens.html,,,
Pholis laeta,Crescent gunnel,Eelpouts and pricklebacks,https://www.fishbase.ca/summary/Pholis-laeta.html,,,
Pholis ornata,Saddleback gunnel,Eelpouts and pricklebacks,https://www.fishbase.ca/summary/3806,,,
Phytichthys chirus,Ribbon prickleback,Eelpouts and pricklebacks,https://www.fishbase.ca/summary/3791,,,
Platichthys stellatus,Starry flounder,Flatfish,https://www.fishbase.ca/summary/Platichthys-stellatus.html,,,
Pleuronichthys coenosus,C-O sole,Flatfish,https://www.fishbase.ca/summary/4251,,,
Podothecus accipenserinus,Sturgeon poacher,Poachers,https://www.fishbase.ca/summary/Agonus-acipenserinus.html,,,
Polypera greeni,Lobefin snailfish,Snailfish,https://www.fishbase.ca/summary/Polypera-greeni,,,
Prosopium williamsoni,Mountain whitefish,Salmon,https://www.fishbase.ca/summary/2685,,,
Psychrolutes paradoxus,Tadpole sculpin,Sculpins,https://www.fishbase.ca/summary/4135,,,
Psychrolutes sigalutes,Soft sculpin,,,,,
Ptilichthys goodei,Quillfish,,,,,
Ptychocheilus oregonensis,Northern pike minnow,Other,https://www.fishbase.ca/summary/PTYCHOCHEILUS-OREGONENSIS.html,,,
Radulinus asprellus,Slim sculpin,Sculpins,https://www.fishbase.ca/summary/Radulinus-asprellus.html,,,
Rhacochilus vacca,Pile perch,Perches,https://www.fishbase.ca/summary/3640,,,
Rhamphocottus richardsonii,Grunt sculpin,Sculpins,https://www.fishbase.ca/summary/Rhamphocottus-richardsonii.html,,,
Rhinichthys cataractae,Longnose dace,Other,https://www.fishbase.ca/summary/Rhinichthys-cataractae.html,,,
Rimicola muscarum,Kelp clingfish,,https://www.fishbase.se/summary/Rimicola-muscarum.html,,,
Ronquilus jordani,Northern ronquil,Eelpouts and pricklebacks,https://www.fishbase.ca/summary/Ronquilus-jordani.html,,,
Salmo salar,Atlantic salmon,Salmon,https://www.fishbase.ca/summary/salmo-salar.html,,,
Salmo trutta,Brown trout,Salmon,https://www.fishbase.ca/summary/Salmo-trutta.html,,,
Salvelinus malma,Dolly Varden,Salmon,https://www.fishbase.ca/summary/Salvelinus-malma.html,,,
Sardinops sagax,Pacific sardine,Forage fish,https://www.fishbase.ca/summary/sardinops-sagax.html,,,
Scomber japonicus,Chub mackerel,,https://www.fishbase.se/summary/117,,,
Scorpaenichthys marmoratus,Cabezon,Sculpins,https://www.fishbase.ca/summary/Scorpaenichthys-marmoratus.html,,,
Sebastolobus macrochir,Broadbanded thornyhead,,,,,
Spirinchus thaleichthys,Longfin smelt,Forage fish,https://www.fishbase.ca/summary/Spirinchus-thaleichthys.html,,,
Squalus suckleyi,Pacific spiny dogfish,Cartilaginous fishes,https://www.fishbase.ca/summary/65869,,,
Synchirus gilli,Manacled sculpin,Sculpins,https://www.fishbase.ca/summary/SYNCHIRUS-GILLI.html,,,
Syngnathus leptorhynchus,Bay pipefish,Other,https://www.fishbase.ca/summary/Syngnathus-leptorhynchus.html,,,
Thaleichthys pacificus,Eulachon,Forage fish,https://www.fishbase.ca/summary/Thaleichthys-pacificus.html,,,
Thunnus orientalis,Pacific bluefin tuna,Other,https://www.fishbase.ca/summary/14290,,,
Trachurus symmetricus,Pacific Jack Mackerel,,https://www.fishbase.se/summary/Trachurus-symmetricus.html,,,
Trichodon trichodon,Pacific sandfish,Other,https://www.fishbase.ca/summary/TRICHODON-TRICHODON.html,,,
Triglops macellus,Roughspine sculpin,Sculpins,https://www.fishbase.ca/summary/4145,,,
Triglops pingelii,Ribbed sculpin,Sculpins,https://www.fishbase.ca/summary/Triglops-pingelii.html,,,
Xiphister atropurpureus,Black prickleback,Eelpouts and pricklebacks,https://www.fishbase.ca/summary/Xiphister-atropurpureus.html,,,
Zaprora silenus,Prowfish,,,,,