name,value
1,Oncorhynchus nerka
2,Oncorhynchus gorbuscha
3,Porichthys notatus
4,Clupea pallasii
5,Hexagrammos decagrammus
6,Oncorhynchus keta
7,Brachyistius frenatus
8,Oncorhynchus kisutch
9,Gasterosteus aculeatus
10,Beringraja binoculata
11,Oncorhynchus tshawytscha
12,Nannobrachium regale
13,Xiphister atropurpureus
14,Amphistichus rhodoterus
15,Jordania zonope
16,Pholis laeta
17,Merluccius productus
18,Myoxocephalus polyacanthocephalus
19,Enophrys bison
20,Artedius lateralis
21,Mola mola
22,Gadus macrocephalus
23,Anoplarchus purpurescens
24,Engraulis mordax
25,Ammodytes hexapterus
26,Cymatogaster aggregata
27,Tarletonbeania crenularis
28,Leptocottus armatus
29,Lepidopsetta bilineata
30,Sebastes nigrocinctus
31,Ophiodon elongatus
32,Oxylebius pictus
33,Ammodytes personatus
34,Gadus chalcogrammus
35,Microstomus pacificus
36,Syngnathus leptorhynchus
37,Beringraja stellulata
38,Anarrhichthys ocellatus
39,Sebastes pinniger
40,Dasycottus setiger
41,Lamna ditropis
42,Amphistichus koelzi
43,Oligocottus maculosus
44,Sebastes maliger
45,Gobiesox maeandricus
46,Paralichthys californicus
47,Rhamphocottus richardsonii
48,Alosa sapidissima
49,Zaprora silenus
50,Leuroglossus schmidti
51,Pholis ornata
52,Embiotoca lateralis
53,Oncorhynchus mykiss
54,Oligocottus snyderi
55,Scorpaenichthys marmoratus
56,Tactostoma macropus
57,Chauliodus macouni
58,Oncorhynchus clarkii
59,Lestidiops ringens
60,Sebastes auriculatus
61,Platichthys stellatus
62,Glyptocephalus zachirus
63,Nautichthys oculofasciatus
64,Liparis mucosus
65,Sebastes caurinus
66,Genyonemus lineatus
67,Agonopsis vulsa
68,Sebastes elongatus
69,Balistes polylepis
70,Triakis semifasciata
71,Poroclinus rothrocki
72,Sebastes rufus
73,Clevelandia ios
74,Anoplopoma fimbria
75,Cyprinus carpio
76,Citharichthys stigmaeus
77,Sebastes paucispinis
78,Aptocyclus ventricosus
79,Sagamichthys abei
80,Trichodon trichodon
81,Citharichthys sordidus
82,Ronquilus jordani
83,Bothrocara brunneum
84,Sebastes rastrelliger
85,Sebastes flavidus
86,Liparis pulchellus
87,Rhinogobiops nicholsii
88,Clinocottus recalvus
89,Cyema atrum
90,Paraliparis rosaceus
91,Avocettina infans
92,Liparis gibbus
93,Radulinus asprellus
94,Lumpenus sagitta
95,Podothecus accipenserinus
96,Benthalbella dentata
97,Sebastes chlorostictus
98,Melamphaes lugubris
99,Apodichthys flavidus
100,Sebastes brevispinis
101,Parophrys vetulus
102,Eopsetta jordani
103,Lycodes palearis
104,Nemichthys larseni
105,Bathyagonus nigripinnis
106,Alepocephalus tenebrosus
107,Sebastolobus alascanus
108,Aristostomias scintillans
109,Coryphaenoides acrolepis
110,Allocyttus folletti
111,Lycodes diapterus
112,Enophrys diceraus
113,Sebastes diploproa
114,Diaphus theta
115,Bathyagonus pentacanthus
116,Raja rhina
117,Paraliparis cephalus
118,Hemilepidotus jordani
119,Sebastolobus altivelis
120,Sebastes alutus
121,Xiphister mucosus
122,Careproctus melanurus
123,Raja stellulata
124,Spirinchus starksi
125,Pleuronichthys decurrens
126,Lyopsetta exilis
127,Nautichthys pribilovius
128,Talismania bifurcata
129,Microgadus proximus
130,Sebastes goodei
131,Pseudobathylagus milleri
132,Cryptacanthodes giganteus
133,Xeneretmus latifrons
134,Sebastes zacentrus
135,Hippoglossoides robustus
136,Squalus suckleyi
137,Lycodes brevipes
138,Cyclothone atraria
139,Lipariscus nanus
140,Sebastes babcocki
141,Sebastes wilsoni
142,Isopsetta isolepis
143,Embassichthys bathybius
144,Zesticelus profundorum
145,Lampadena urophaos
146,Artedius fenestralis
147,Macropinna microstoma
148,Careproctus canus
149,Spirinchus thaleichthys
150,Sebastes ovalis
151,Sebastes proriger
152,Spectrunculus grandis
153,Sebastes rubrivinctus
154,Careproctus cypselurus
155,Chesnonia verrucosa
156,Sebastes ruberrimus
157,Lycodes pacificus
158,Lumpenella longirostris
159,Sebastes crameri
160,Albatrossia pectoralis
161,Sebastes melanostomus
162,Pleurogrammus monopterygius
163,Sebastes aleutianus
164,Barbourisia rufa
165,Pleuronichthys coenosus
166,Lycenchelys jordani
167,Kathetostoma averruncus
168,Aphanopus intermedius
169,Antimora microlepis
170,Sebastes serranoides
171,Triglops pingelii
172,Bathyraja trachura
173,Zaniolepis latipinnis
174,Lycodapus mandibularis
175,Kajikia audax
176,Icelinus filamentosus
177,Sebastes polyspinis
178,Sebastes semicinctus
179,Raja inornata
180,Sebastes saxicola
181,Trachurus symmetricus
182,Atheresthes stomias
183,Thaleichthys pacificus
184,Rhacochilus vacca
185,Prionace glauca
186,Hexagrammos stelleri
187,Artedius harringtoni
188,Carcharodon carcharias
189,Paraliparis pectoralis
190,Chaenophryne melanorhabdus
191,Hypomesus pretiosus
192,Liparis cyclopus
193,Symbolophorus californiensis
194,Chirolophis nugator
195,Bathylagus pacificus
196,Hemilepidotus hemilepidotus
197,Sebastes helvomaculatus
198,Trachipterus altivelis
199,Eumicrotremus orbis
200,Sebastes rosaceus
201,Sebastes carnatus
202,Sebastes mystinus
203,Anoplarchus insignis
204,Bothragonus swanii
205,Hemilepidotus spinosus
206,Sebastes chrysomelas
207,Salvelinus malma
208,Nannobrachium ritteri
209,Liparis dennyi
210,Hippoglossoides elassodon
211,Hippoglossus stenolepis
212,Ascelichthys rhodorus
213,Synchirus gilli
214,Malacocottus kincaidi
215,Gymnocanthus galeatus
216,Osmerus mordax
217,Odontopyxis trispinosa
218,Lycodapus pachysoma
219,Pachycara gymninium
220,Bathyagonus alascanus
221,Xeneretmus triacanthus
222,Sarritor leptorhynchus
223,Protomyctophum crockeri
224,Icosteus aenigmaticus
225,Sebastes melanops
226,Protomyctophum arcticum
227,Pachystomias microdon
228,Stenobrachius leucopsarus
229,Tetragonurus cuvieri
230,Soldatovia polyactocephala
231,Mallotus villosus
232,Lipolagus ochotensis
233,Morone saxatilis
234,Brosmophycis marginata
235,Chirolophis decoratus
236,Oligocottus rimensis
237,Atherinops affinis
238,Cebidichthys violaceus
239,Sebastes miniatus
240,Cololabis saira
241,Alopias vulpinus
242,Clinocottus globiceps
243,Sebastes nebulosus
244,Salmo salar
245,Poromitra crassiceps
246,Bathyraja aleutica
247,Nansenia candida
248,Lycodapus fierasfer
249,Protomyctophum thompsoni
250,Phytichthys chirus
251,Beringraja rhina
252,Nemichthys scolopaceus
253,Lepidogobius lepidus
254,Cyclothone signata
255,Liparis fucensis
256,Scomber japonicus
257,Psettichthys melanostictus
258,Hexanchus griseus
259,Careproctus colletti
260,Icichthys lockingtoni
261,Bathyraja interrupta
262,Sebastes reedi
263,Bathymaster caeruleofasciatus
264,Cyclothone acclinidens
265,Sebastes variabilis
266,Icelinus oculatus
267,Liparis callyodon
268,Icelinus borealis
269,Stenobrachius nannochir
270,Apodichthys fucorum
271,Ammodytes tobianus
272,Peprilus simillimus
273,Sebastes variegatus
274,Lycodapus dermatinus
275,Paraliparis dactylosus
276,Cryptacanthodes aleutensis
277,Bothrocara molle
278,Ruscarius meanyi
279,Sebastes jordani
280,Lycodapus parviceps
281,Sebastes levis
282,Anisarchus medius
283,Dicrolene filamentosa
284,Sardinops sagax
285,Paraliparis paucidens
286,Taractes asper
287,Lycodes cortezianus
288,Stegastes planifrons
289,Derepodichthys alepidotus
290,Aulorhynchus flavidus
291,Xeneretmus leiops
292,Icelinus tenuis
293,Icelinus fimbriatus
294,Apristurus brunneus
295,Cottus asper
296,Sebastes aurora
297,Atheresthes evermanni
298,Chitonotus pugetensis
299,Molva molva
300,Lepidopsetta polyxystra
301,Sebastes emphaeus
302,Nectoliparis pelagicus
303,Bathyagonus infraspinatus
304,Allosmerus elongatus
305,Psychrolutes paradoxus
306,Psychrolutes phrictus
307,Coryphaenoides cinereus
308,Pallasina barbata
309,Limanda aspera
310,Thalassenchelys coheni
311,Magnisudis atlantica
312,Anoplagonus inermis
313,Lycodes beringi
314,Careproctus gilberti
315,Ptilichthys goodei
316,Rhadinesthes decimus
317,Cottus aleuticus
318,Clidoderma asperrimum
319,Lycenchelys crotalinus
320,Triglops macellus
321,Antimora rostrata
322,Osteodiscus cascadiae
323,Symphurus atricaudus
324,Sebastes entomelas
325,Eurypharynx pelecanoides
326,Pholis schultzi
327,Clinocottus acuticeps
328,Arctozenus risso
329,Hyperprosopon ellipticum
330,Polypera greeni
331,Nezumia stelgidolepis
332,Bryozoichthys marjorius
333,Stylephorus chordatus
334,Elassodiscus caudatus
335,Cryptopsaras couesii
336,Paricelinus hopliticus
337,Sternoptyx obscura
338,Blepsias cirrhosus
339,Squalus acanthias
340,Caristius macropus
341,Hexagrammos lagocephalus
342,Lycenchelys paxillus
343,Sebastes borealis
344,Paraliparis operculosus
345,Psychrolutes sigalutes
346,Narcetes stomias
347,Liparis florae
348,Paraliparis mento
349,Aphanopus arigato
350,Rhinoliparis attenuatus
351,Rhincodon typus
352,Halargyreus johnsonii
353,Bathymaster signatus
354,Lycodapus endemoscotus
355,Myoxocephalus scorpius
356,Leptoclinus maculatus
357,Scopelengys tristis
358,Anoplogaster cornuta
359,Melanostigma pammelas
360,Mylocheilus caurinus
361,Oneirodes bulbosus
362,Coryphaenoides filifer
363,Rondeletia loricata
364,Venefica procera
365,Hemitripterus bolini
366,Bathyraja abyssicola
367,Somniosus pacificus
368,Paraliparis deani
369,Melanocetus johnsonii
370,Careproctus oregonensis
371,Malacocottus zonurus
372,Liparis rutteri
373,Opostomias mitsuii
374,Sarda lineolata
375,Bathophilus flemingi
376,Pentaceros wheeleri
377,Bathyraja lindbergi
378,Rouleina attrita
379,Icelinus burchami
380,Argentina sialis
381,Reinhardtius hippoglossoides
382,Blepsias bilobus
383,Careproctus filamentosus
384,Lepidopus fitchi
385,Poromitra curilensis
386,Serrivomer sector
387,Nansenia crassa
388,Sebastes ciliatus
389,Leuroglossus stilbius
390,Paraliparis latifrons
391,Asemichthys taylori
392,Pachycara lepinium
393,Enophrys lucasi
394,Careproctus microstomus
395,Acipenser sturio
396,Fundulus diaphanus
397,Chaenophryne longiceps
398,Stegastes partitus
399,Clinocottus embryum
400,Melanonus zugmayeri
401,Lycenchelys camchatica
402,Scytalina cerdale
403,Scopelosaurus adleri
404,Careproctus longifilis
405,Bathylychnops exilis
406,Chiasmodon niger
407,Coryphaenoides armatus
408,Plectroglyphidodon sindonis
409,Prosopium cylindraceum
410,Bajacalifornia erimoensis
411,Plectobranchus evides
412,Beringraja inornata
413,Hypsagonus quadricornis
414,Careproctus ovigerus
415,Diretmoides pauciradiatus
416,Amblyraja badia
417,Scopelosaurus harryi
418,Paraliparis ulochir
419,Phanerodon furcatus
420,Cetorhinus maximus
421,Lumpenus fabricii
422,Lycodapus leptus
423,Radulinus boleoides
424,Bathysaurus mollis
425,Stichaeus punctatus
426,Pleuronichthys verticalis
427,Lyconema barbatum
428,Epinephelus areolatus
429,Howella brodiei
430,Benthodesmus pacificus
431,Argyropelecus sladeni
432,Bajacalifornia megalops
433,Lutjanus fulvus
434,Hexagrammos octogrammus
435,Acantholumpenus mackayi
436,Malacocottus aleuticus
437,Careproctus rastrinus
438,Alepisaurus ferox
439,Merluccius bilinearis
440,Physiculus rastrelliger
441,Lamprogrammus niger
442,Coryphaenoides leptolepis
443,Aphareus rutilans
444,Triglops scepticus
445,Paraliparis megalopus
446,Bathylagoides wesethi
447,Paralabrax clathratus
448,Bathyraja parmifera
449,Sebastes diaconus
450,Lycenchelys micropora
451,Icelus spiniger
452,Acantholiparis opercularis
453,Bothrocara pusillum
454,Myoxocephalus jaok
455,Gymnocanthus pistilliger
456,Bassozetus elongatus
457,Liparis liparis
458,Anotopterus pharao
459,Artedius corallinus
460,Stellerina xyosterna
461,Ceratoscopelus townsendi
462,Brama japonica
463,Pentaceros richardsoni
464,Careproctus scottae
465,Argyropelecus lychnus
466,Rimicola muscarum
467,Hyperprosopon argenteum
468,Hyperprosopon anale
469,Parvilux ingens
470,Tetronarce californica
471,Chilara taylori
472,Acipenser medirostris
473,Notorynchus cepedianus
474,Micropterus salmoides
475,Ceratias holboelli
476,Artediellus pacificus
477,Triphoturus mexicanus
478,Syngnathus californiensis
479,Careproctus furcellus
480,Oneirodes thompsoni
481,Agonomalus mozinoi
482,Acipenser transmontanus
483,Thunnus alalunga
484,Sarritor frenatus
485,Mola tecta
486,Lepomis macrochirus
487,Pholis clemensi
488,Lucania parva
489,Gasterosteus microcephalus
490,Clupea harengus
491,Cottus gulosus
492,Lycenchelys pearcyi
493,Idiacanthus antrostomus
494,Careproctus spectrum
495,Sternoptyx diaphana
496,Ulvicola sanctaerosae
497,Anarhichas orientalis
498,Ameiurus nebulosus
499,Perca flavescens
500,Cyprinus rubrofuscus
501,Myoxocephalus stelleri
502,Ophichthus triserialis
503,Galeorhinus galeus
504,Poromitra cristiceps
505,Icelus spatula
506,Dallia pectoralis
507,Cataetyx rubrirostris
508,Erilepis zonifer
509,Pleuronectes quadrituberculatus
510,Gyrinomimus grahami
511,Careproctus georgianus
512,Nautichthys robustus
513,Anotopterus nikparini
514,Hemilepidotus zapus
515,Kali indica
516,Serrivomer jesperseni
517,Careproctus attenuatus
518,Notacanthus chemnitzii
519,Bassozetus zenkevitchi
520,Bathyraja violacea
521,Paraliparis melanobranchus
522,Triglops forficatus
523,Triglops jordani
524,Brama brama
525,Cottus rhotheus
526,Cottus perplexus
527,Catostomus macrocheilus
528,Leptochilichthys agassizii
529,Scopeloberyx robustus
530,Argyropelecus affinis
531,Sebastes fuscescens
532,Chauliodus sloani
533,Diodon hystrix
534,Atractoscion nobilis
535,Salvelinus fontinalis
536,Nezumia liolepis
537,Caulolatilus princeps
538,Sebastes melanostictus
539,Sphyraena argentea
540,Cyclothone microdon
541,Tarletonbeania taylori
542,Xenomystax atrarius
543,Leucoraja erinacea
544,Chaenophryne draco
545,Lycodes concolor
546,Eumicrotremus spinosus
547,Bathymaster leurolepis
548,Chirolophis tarsodes
549,Liparis adiastolus
550,Dorosoma cepedianum
551,Lycenchelys callista
552,Taranetzella lyoderma
553,Cyclothone pallida
554,Pristigenys serrula
555,Aphanopus carbo
556,Taaningichthys bathyphilus
557,Polyacanthonotus challengeri
558,Cyclothone pseudopallida
559,Notoscopelus resplendens
560,Bathylaco nigricans
561,Danaphos oculatus
562,Neonesthes capensis
563,Borostomias panamensis
564,Argyropelecus hemigymnus
565,Ichthyococcus elongatus
566,Dolopichthys danae
567,Paraliparis calidus
568,Benthodesmus simonyi
569,Echinorhinus cookei
570,Cetostoma regani
571,Rondeletia bicolor
572,Pseudupeneus grandisquamis
573,Howella sherborni
574,Alectis ciliaris
575,Lota lota
576,Bathyraja spinosissima
577,Carassius auratus
578,Leptacanthichthys gracilispinis
579,Bertella idiomorpha
580,Percopsis transmontana
581,Gigantactis gargantua
582,Coryphaena hippurus
583,Lepomis gibbosus
584,Gadus morhua
585,Paraplagusia bilineata
586,Lumpenopsis hypochroma
587,Chromobotia macracanthus
588,Osmerus eperlanus
589,Trichopodus leerii
590,Xiphias gladius
591,Seriphus politus
592,Kali kerberti
593,Cottus cognatus
594,Myoxocephalus scorpioides
595,Lumpenus lampretaeformis
596,Pteroplatytrygon violacea
597,Mentodus eubranchus
598,Cottus confusus
599,Ptychocheilus oregonensis
600,Ellochelon vaigiensis
601,Microstoma microstoma
602,Triglops metopias
603,Lethotremus muticus
604,Oneirodes acanthias
605,Lampanyctus jordani
606,Benthodesmus tenuis
607,Liparis fabricii
608,Porichthys myriaster
609,Novumbra hubbsi
610,Cyclothone alba
611,Acrocheilus alutaceus
612,Lestidiops sphyraenopsis
613,Pachycara bulbiceps
614,Liparis ochotensis
615,Lampris guttatus
616,Liparis catharus
617,Gymnocanthus herzensteini
618,Semotilus corporalis
619,Monopterus cuchia
620,Diaphus rafinesquii
621,Percina sciera
622,Hampala bimaculata
623,Hippocampus erectus
624,Oligocottus borealis
625,Icelinus strabo
626,Artedius asperulus
627,Fistularia petimba
628,Paramonacanthus choirocephalus
629,Rhamdia quelen
630,Nezumia bairdii
631,Paramonacanthus sulcatus
632,Salmo trutta
633,Acanthostracion quadricornis
634,Harengula humeralis
635,Sphoeroides nephelus
636,Etropus crossotus
637,Bathyraja maculata
638,Porichthys porosissimus
